"","AAPL","MSFT","NVDA","AMZN","JPM","GS","BAC","JNJ","UNH","LLY","PG","KO","WMT","MCD","XOM","CVX","COP","CAT","HON","BA"
"AAPL",1,0.434110002112759,0.459557802567877,0.393840769097288,0.285972776575435,0.436952315754167,0.192878179458029,0.0803643573449622,0.165648407489317,-0.035266465501395,-0.0386972156363324,0.0623199791050157,0.0838417344506472,0.182918234647339,0.139147987892253,0.221265168874329,0.2006126378989,0.240525147538267,0.213088474034037,0.155829750922691
"MSFT",0.434110002112759,1,0.410059669844874,0.449604813568961,0.419571606016248,0.420427145444737,0.306554485464392,0.146882527401098,0.0616716475724392,0.12675526192612,-0.0146935548807105,0.224176631344346,0.237037752439564,0.242286468117608,0.182609185231543,0.261144770587623,0.191630536830539,0.293874270465723,0.292325565260291,0.210984596632623
"NVDA",0.459557802567877,0.410059669844874,1,0.434462597706192,0.342169833686255,0.347329464640538,0.232097867953539,0.0293840477320013,0.115093265266133,0.0278640690640073,-0.0497483403164114,0.0325507059878908,0.102099301410284,0.0940267030420827,0.187177216358076,0.241179050531869,0.24089267347961,0.29377030946278,0.293998157596667,0.205585559443078
"AMZN",0.393840769097288,0.449604813568961,0.434462597706192,1,0.283489738574529,0.31432590444907,0.172542433122356,0.0564111442142638,0.0994981190222224,0.040719039344508,0.077829017194633,0.0973288213787087,0.136293959182763,0.179247738596168,0.0923028556589056,0.145765001529266,0.168242515338101,0.256780761949245,0.410864283415507,0.228179635839604
"JPM",0.285972776575435,0.419571606016248,0.342169833686255,0.283489738574529,1,0.682842318099817,0.734564064729665,0.185122656266438,0.187144594191974,0.0759215887198736,0.13130327466833,0.266770551797987,0.237369749963168,0.365066239106154,0.328830763999338,0.389218359516296,0.383166696428319,0.491042601044927,0.493812061316409,0.375972317734889
"GS",0.436952315754167,0.420427145444737,0.347329464640538,0.31432590444907,0.682842318099817,1,0.510017566021169,0.222384635046966,0.173688866405046,0.107267096219494,0.0352946030850854,0.216080813160044,0.201377290377077,0.276758851185477,0.341051849428912,0.38073516195829,0.396965225362584,0.463084569504215,0.409858910312557,0.368602047158035
"BAC",0.192878179458029,0.306554485464392,0.232097867953539,0.172542433122356,0.734564064729665,0.510017566021169,1,0.257008799122221,0.275142869631834,0.096163008327222,0.195132473629908,0.202229311854161,0.188959499889906,0.233736786342807,0.286159945380675,0.344831427451113,0.403502430356903,0.481714735320686,0.402574000431908,0.370248699937759
"JNJ",0.0803643573449622,0.146882527401098,0.0293840477320013,0.0564111442142638,0.185122656266438,0.222384635046966,0.257008799122221,1,0.350881923380508,0.450503443240566,0.396592504816924,0.468830970957265,0.307743584350015,0.367658440285436,0.323653447876108,0.300772381693697,0.210690352318695,0.287718548810283,0.220464879117657,0.207583752461241
"UNH",0.165648407489317,0.0616716475724392,0.115093265266133,0.0994981190222224,0.187144594191974,0.173688866405046,0.275142869631834,0.350881923380508,1,0.186328124619608,0.177127379078618,0.16132226827036,0.0672716732445546,0.214431808022845,0.213456900981598,0.263982278702864,0.261703716028745,0.200098518449964,0.279339705164736,0.194918371004294
"LLY",-0.035266465501395,0.12675526192612,0.0278640690640073,0.040719039344508,0.0759215887198736,0.107267096219494,0.096163008327222,0.450503443240566,0.186328124619608,1,0.118457431109321,0.305242478630488,0.236823443986192,0.241887382039479,0.151559921740864,0.0861884169344551,0.0963079925814388,0.205417519775733,0.16341693535082,0.114111990790519
