"","AAPL","MSFT","NVDA","AMZN","JPM","GS","BAC","JNJ","UNH","LLY","PG","KO","WMT","MCD","XOM","CVX","COP","CAT","HON","BA"
"AAPL",0.013155425535461,0.0039417078906605,0.00868363364584689,0.00565376512619655,0.00278787926907945,0.00452559549571067,0.00247307232579481,0.000441781509564944,0.00143951667563701,-0.000304323644762521,-0.00023463276651414,0.000362226937083554,0.000521286519483611,0.00116022028185203,0.000993250138640357,0.00171527077227697,0.00201509492238835,0.00252596525437649,0.00197650667153053,0.00174497938668335
"MSFT",0.0039417078906605,0.00626706772871725,0.0053479599964228,0.00445479565921055,0.00282315747920684,0.00300546850288191,0.00271294593043671,0.000557306283049146,0.000369908856760533,0.000754952281189435,-6.14915679288134e-05,0.00089933920713819,0.00101721675365512,0.00106069947691379,0.000899671713559746,0.0013972712114,0.00132856155227726,0.0021301402096553,0.00187147860755053,0.00163068628361566
"NVDA",0.00868363364584689,0.0053479599964228,0.0271404970129869,0.00895830684946029,0.00479123460673717,0.00516701548336894,0.00427446060101207,0.000232012897305637,0.0014365997764169,0.000345362155926031,-0.000433255403867849,0.000271750470562897,0.000911791330542055,0.000856625716194901,0.00191907141161003,0.00268544129475612,0.00347549973347784,0.00443130080037363,0.00391687202316258,0.00330665571083844
"AMZN",0.00565376512619655,0.00445479565921055,0.00895830684946029,0.0156649597365733,0.00301577408511965,0.00355249972635068,0.00241413653492059,0.000338392834861202,0.000943531702479213,0.000383427692139714,0.000514947176542603,0.000617315383770149,0.000924708902435459,0.00124065013805393,0.000718967124306592,0.00123306248978889,0.00184410295588089,0.00294266996809321,0.00415861682138073,0.00278823258531627
"JPM",0.00278787926907945,0.00282315747920684,0.00479123460673717,0.00301577408511965,0.0072242645293957,0.00524090739370064,0.00697955554419145,0.000754133097605747,0.00120517771244247,0.000485493498176245,0.000589968563549375,0.00114904146537844,0.00109366920120614,0.00171592970790762,0.00173939619145523,0.00223592546126415,0.00285213018163314,0.00382146973023865,0.00339425438937579,0.00311989633486098
"GS",0.00452559549571067,0.00300546850288191,0.00516701548336894,0.00355249972635068,0.00524090739370064,0.00815414585637094,0.00514843982705195,0.0009624665038637,0.00118833312504733,0.000728747491092933,0.000168482203387545,0.000988795400353581,0.000985742588647493,0.00138204364544761,0.00191663272892596,0.00232369652398261,0.00313925410814622,0.00382881145128357,0.00299301913776622,0.00324963403669486
"BAC",0.00247307232579481,0.00271294593043671,0.00427446060101207,0.00241413653492059,0.00697955554419145,0.00514843982705195,0.0124969070108804,0.00137702197175651,0.00233043243649788,0.000808780405431806,0.00115315400737343,0.00114563524844811,0.00114507462234997,0.00144497169248392,0.0019908537919184,0.00260540530222283,0.00395031923805845,0.0049306665452544,0.00363942578201757,0.00404093891612726
"JNJ",0.000441781509564944,0.000557306283049146,0.000232012897305637,0.000338392834861202,0.000754133097605747,0.0009624665038637,0.00137702197175651,0.00229711753396887,0.00127417649176699,0.00162446752496708,0.00100483002613443,0.0011386988866776,0.000799547750919279,0.000974467031076763,0.000965386229393523,0.000974309072936829,0.00088434358037855,0.00126262359797538,0.000854509505039444,0.000971342611284364
"UNH",0.00143951667563701,0.000369908856760533,0.0014365997764169,0.000943531702479213,0.00120517771244247,0.00118833312504733,0.00233043243649788,0.00127417649176699,0.00574055615559985,0.0010621276340499,0.000709445722918741,0.000619401565687673,0.000276294986563266,0.000898456787012108,0.00100650616202436,0.0013518202312782,0.00173648743036288,0.00138814646110051,0.00171157340714716,0.00144184053961488
"LLY",-0.000304323644762521,0.000754952281189435,0.000345362155926031,0.000383427692139714,0.000485493498176245,0.000728747491092933,0.000808780405431806,0.00162446752496708,0.0010621276340499,0.00566034133557493,0.000471129299997635,0.00116377031790623,0.000965850241884636,0.00100638817736671,0.000709634851316939,0.000438265614504072,0.000634553744200681,0.0014150546869424,0.000994269797456266,0.00083818535206691
"PG",-0.00023463276651414,-6.14915679288134e-05,-0.000433255403867849,0.000514947176542603,0.000589968563549375,0.000168482203387545,0.00115315400737343,0.00100483002613443,0.000709445722918741,0.000471129299997635,0.00279455709421507,0.00119658094711499,0.000394695526869461,0.000812310586251367,0.000559953228379373,0.000433485801264973,0.000406741362381833,0.000961501402422073,0.00115508701941951,0.000911731087475401
"KO",0.000362226937083554,0.00089933920713819,0.000271750470562897,0.000617315383770149,0.00114904146537844,0.000988795400353581,0.00114563524844811,0.0011386988866776,0.000619401565687673,0.00116377031790623,0.00119658094711499,0.0025680412082404,0.000716784648278412,0.00141867657506313,0.00101661590365052,0.00107621326994062,0.00110681991287469,0.0011896042483068,0.00135559770117007,0.00159080702935015
"WMT",0.000521286519483611,0.00101721675365512,0.000911791330542055,0.000924708902435459,0.00109366920120614,0.000985742588647493,0.00114507462234997,0.000799547750919279,0.000276294986563266,0.000965850241884636,0.000394695526869461,0.000716784648278412,0.00293851275080761,0.000919895769286808,0.000332052335350203,0.000398000532914794,0.000107266352943364,0.00123302931903695,0.000850548401416083,0.000466554938060553
