"Asset","Shapiro_p_value"
"AAPL",6.36824860448815e-14
"AMD",0.205074773153421
"AMZN",3.8759707218008e-09
"AXP",7.14549007241871e-14
"BA",1.62802048312605e-10
"BAC",8.28904426413503e-15
"C",2.02354889143886e-16
"CAT",6.23989000990247e-06
"COP",7.33426893333404e-08
"COST",4.42277212696537e-13
"CVX",8.946604911542e-05
"DIS",0.000134657553507871
"GE",2.45264609236244e-07
"GS",0.0657538895170763
"HD",0.0232104550771856
"HON",4.18674972118889e-15
"IBM",3.78937027767194e-06
"INTC",2.05872754911439e-09
"JNJ",0.00167961644054067
"JPM",4.63952979883029e-07
"KO",5.01986975250166e-06
"LLY",5.6860644359923e-06
"LOW",0.600382984403697
"MCD",1.99417789758863e-07
"MMM",0.0136364199271134
"MRK",5.04442119293684e-05
"MS",2.15315817553476e-08
"MSFT",1.38120573925416e-07
"NKE",1.42079836879078e-10
"NVDA",6.69298986287628e-05
"ORCL",1.62107678405097e-07
"PEP",0.000422704319828135
"PFE",0.903959732456379
"PG",2.6756956271504e-14
"QCOM",4.88001181106742e-07
"SBUX",2.92945670219647e-07
"SLB",2.51249829213687e-10
"TXN",2.30782946805836e-07
"UNH",7.19714671201868e-11
"UPS",5.20426790857733e-06
"WFC",1.89775543100719e-13
"WMT",0.00361691568458467
"XOM",4.88992635085135e-07
