"Asset","Skewness"
"AXP",0.528025823276042
"BA",-1.10206034645399
"CAT",-0.551552694837256
"CSCO",-0.806873957900099
"CVX",-0.0539846797827874
"DIS",-0.251260363836883
"GE",-0.298373593101235
"GS",-0.232502075641651
"HD",-0.354807515976439
"IBM",-0.105919820554145
"INTC",-0.955605197194825
"JNJ",-0.364147254073942
"JPM",-0.6455649314729
"KO",-0.672998498119918
"MCD",-0.707002176095472
"MS",-0.919633707026562
"MSFT",-0.381570607893401
"NKE",-0.977155032794542
"ORCL",-0.405857438311073
"PFE",-0.0157620282790548
"PG",-2.09083802000604
"T",-0.302457014075302
"VZ",0.198586520814073
"WMT",-0.327667116647911
"XOM",-0.116207330137293
